crop_time,read_image_time,model_time,full_time,run_time
33.20,29099.90,0.50,29142.50,42.60
33.40,28137.80,0.40,28179.90,42.10
31.60,30824.60,0.60,30864.60,40.00
35.60,28045.50,0.70,28090.50,45.00
56.90,27992.40,1.20,28068.60,76.20
39.10,44108.20,0.60,44155.80,47.60
31.80,28420.20,0.90,28461.20,41.00
31.30,28190.40,0.60,28232.60,42.20
30.70,27818.20,0.50,27858.20,40.00
34.80,28809.30,0.90,28855.50,46.20
31.70,28298.90,0.60,28341.70,42.80
32.80,28514.20,0.60,28556.20,42.00
32.50,28998.20,0.60,29040.10,41.90
45.00,29054.20,0.50,29108.70,54.50
33.00,29278.00,0.50,29319.50,41.50
29.70,30151.40,0.30,30188.20,36.80
34.80,25884.20,0.60,25929.60,45.40
45.30,43997.20,0.70,44060.80,63.60
32.10,27817.50,0.70,27859.10,41.60
28.30,28326.40,0.40,28364.00,37.60
32.40,28581.50,0.40,28624.30,42.80
33.90,31330.70,0.60,31373.20,42.50
30.70,26861.90,1.00,26902.00,40.10
33.80,28165.70,0.90,28208.00,42.30
29.40,28634.30,0.50,28671.80,37.50
30.30,29982.20,0.50,30023.70,41.50
34.40,30805.40,0.70,30849.50,44.10
33.40,27332.20,0.70,27376.90,44.70
34.00,26368.50,0.80,26415.30,46.80
42.70,42163.50,0.60,42216.90,53.40
31.70,27392.40,0.60,27434.20,41.80
32.40,28612.20,0.50,28654.90,42.70
32.00,27161.40,0.60,27211.30,49.90
32.90,28413.20,0.50,28455.00,41.80
31.40,29166.80,0.40,29206.80,40.00
37.50,29698.90,0.60,29746.80,47.90
32.30,27284.00,0.50,27324.40,40.40
33.70,29430.70,1.00,29473.40,42.70
32.40,29077.40,0.50,29118.70,41.30
40.80,29525.70,1.20,29578.80,53.10
36.70,27817.00,0.90,27862.90,45.90
40.00,44196.00,0.40,44246.70,50.70
32.80,27739.90,0.70,27781.60,41.70
33.00,27440.10,0.80,27483.70,43.60
33.00,26900.30,0.90,26942.90,42.60
32.90,28697.70,0.70,28739.40,41.70
33.60,28735.80,0.80,28777.80,42.00
33.40,28421.00,0.40,28462.40,41.40
33.60,28757.20,0.50,28801.30,44.10
31.40,30709.60,0.70,30751.50,41.90
33.70,27758.10,0.80,27804.10,46.00
